2020-12-13T17:21:02.264 (priority normal) -> ---BEGIN LOG---
2020-12-13T17:21:02.317 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//
2020-12-13T17:21:02.319 (priority  debug) -> Options for P1 are "blue 5 red 4 ".
2020-12-13T17:21:02.321 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//
2020-12-13T17:21:02.322 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((b|blue)\s*([5]){1})|((r|red)\s*([4]){1})))\b)"
2020-12-13T17:21:11.431 (priority  debug) -> rawish response is "pb5"
2020-12-13T17:21:11.433 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-13T17:21:11.433 (priority  debug) -> simplifyUserResponse() received "pb5" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-13T17:21:11.435 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "pb5"
2020-12-13T17:21:11.435 (priority  debug) -> P1's response: "pb5"
2020-12-13T17:21:11.437 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//
2020-12-13T17:21:11.438 (priority normal) -> Assigning next player
2020-12-13T17:21:11.438 (priority  debug) -> Current player 0 indexed is 0
2020-12-13T17:21:11.439 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:21:11.440 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:21:11.441 (priority  debug) -> Options for P2 are "blue 4 blue 6 wild ".
