2020-12-26T18:32:59.384794800 (priority normal) -> ---BEGIN LOG---
2020-12-26T18:33:11.825986400 (priority  debug) -> Received instruction from client /127.0.0.1:57814, "username:joeMama"
2020-12-26T18:33:11.826989400 (priority normal) -> Server thread has received username, Player 122684 changed to "joeMama"
2020-12-26T18:33:11.827993900 (priority  debug) -> Received instruction from client /127.0.0.1:57814, "ID:2a6181018f5f25fb56ba9d41f0380b814c4040cb34867dfa17329bc1f3d19def"
2020-12-26T18:33:11.828990500 (priority normal) -> Server thread has received username, joeMama changed to "018f5f25fb56ba9d41f0380b814c4040cb34867dfa17329bc1f3d19def"
2020-12-26T18:33:14.551706300 (priority normal) -> Shuffling deck.
2020-12-26T18:33:14.555706300 (cc of screen   ) -> Would you like to host or join? 
2020-12-26T18:33:14.557703100 (priority  debug) -> Options for P1 are "blue 0 blue 0 yellow 5 yellow skip ".
2020-12-26T18:33:14.558703900 (cc of screen   ) -> Card to play on: yellow 0 // Player 1 Contents of hand: blue 0, blue 0, blue skip, blue +2, red skip, yellow 5, yellow skip // P1: The cards you can play are: blue 0, blue 0, yellow 5, and yellow skip. // 
2020-12-26T18:33:14.560704100 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((b|blue)\s*([00]){1})|((y|yellow)\s*([5s]|skip){1})))\b)"
2020-12-26T18:33:17.519757800 (priority  debug) -> rawish response is "py5"
2020-12-26T18:33:17.522763800 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-26T18:33:17.525758200 (priority  debug) -> simplifyUserResponse() received "py5" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-26T18:33:17.527795900 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "py5"
2020-12-26T18:33:17.528758600 (priority  debug) -> P1's response: "py5"
2020-12-26T18:33:17.529754500 (cc of screen   ) -> Will you (d)raw or (p)lay a card? P1 played yellow 5 // 
2020-12-26T18:33:17.530754700 (priority normal) -> Assigning next player
2020-12-26T18:33:17.531762 (priority  debug) -> Engine believes there are 2 players.
2020-12-26T18:33:17.533754200 (priority  debug) -> Current player 0 indexed is 0
2020-12-26T18:33:17.534776100 (priority  debug) -> Current player 0 indexed is now 1
2020-12-26T18:33:17.534776100 (priority  debug) -> Current player 0 indexed is now 1
2020-12-26T18:33:17.535774900 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.537754 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.538754500 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.539757200 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.541755800 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.543759600 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.544758700 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-26T18:33:17.545758300 (priority normal) -> Next player has already been assigned, skipping additional assignment.
