2020-12-14T00:19:30.923 (priority normal) -> ---BEGIN LOG---
2020-12-14T00:19:40.294 (priority normal) -> Shuffling deck.
2020-12-14T00:19:40.299 (cc of screen   ) -> How many players? (2 - 10): 
2020-12-14T00:19:40.301 (priority  debug) -> Options for P1 are "green reverse yellow 2 ".
2020-12-14T00:19:40.303 (cc of screen   ) -> Card to play on: green 2 // Player 1 Contents of hand: blue 1, blue 4, blue 5, blue 7, green reverse, red 4, yellow 2 // P1: The cards you can play are: green reverse and yellow 2. // 
2020-12-14T00:19:40.307 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([r]|reverse){1})|((y|yellow)\s*([2]){1})))\b)"
2020-12-14T00:20:20.604 (priority  debug) -> rawish response is "py2"
2020-12-14T00:20:20.607 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-14T00:20:20.608 (priority  debug) -> simplifyUserResponse() received "py2" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-14T00:20:20.610 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "bpy2"
2020-12-14T00:20:20.611 (cc of screen   ) -> Will you (d)raw or (p)lay a card? 
2020-12-14T00:20:20.612 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-14T00:20:20.613 (priority  debug) -> Options for P1 are "green reverse yellow 2 ".
2020-12-14T00:20:20.615 (cc of screen   ) -> Card to play on: green 2 // Player 1 Contents of hand: blue 1, blue 4, blue 5, blue 7, green reverse, red 4, yellow 2 // P1: The cards you can play are: green reverse and yellow 2. // 
2020-12-14T00:20:20.616 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([r]|reverse){1})|((y|yellow)\s*([2]){1})))\b)"
2020-12-14T00:20:28.700 (priority  debug) -> rawish response is "py2"
2020-12-14T00:20:28.701 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-14T00:20:28.702 (priority  debug) -> simplifyUserResponse() received "py2" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-14T00:20:28.704 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "bpy2"
2020-12-14T00:20:28.705 (cc of screen   ) -> Will you (d)raw or (p)lay a card? 
2020-12-14T00:20:28.707 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-14T00:20:28.708 (priority  debug) -> Options for P1 are "green reverse yellow 2 ".
2020-12-14T00:20:28.710 (cc of screen   ) -> Card to play on: green 2 // Player 1 Contents of hand: blue 1, blue 4, blue 5, blue 7, green reverse, red 4, yellow 2 // P1: The cards you can play are: green reverse and yellow 2. // 
2020-12-14T00:20:28.711 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([r]|reverse){1})|((y|yellow)\s*([2]){1})))\b)"
2020-12-14T00:20:35.683 (priority  debug) -> rawish response is "play yellow 2"
2020-12-14T00:20:35.685 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-14T00:20:35.686 (priority  debug) -> simplifyUserResponse() received "play yellow 2" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-14T00:20:35.688 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "bpyellow 2"
2020-12-14T00:20:35.689 (cc of screen   ) -> Will you (d)raw or (p)lay a card? 
2020-12-14T00:20:35.690 (priority normal) -> Next player has already been assigned, skipping additional assignment.
2020-12-14T00:20:35.691 (priority  debug) -> Options for P1 are "green reverse yellow 2 ".
2020-12-14T00:20:35.693 (cc of screen   ) -> Card to play on: green 2 // Player 1 Contents of hand: blue 1, blue 4, blue 5, blue 7, green reverse, red 4, yellow 2 // P1: The cards you can play are: green reverse and yellow 2. // 
2020-12-14T00:20:35.694 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([r]|reverse){1})|((y|yellow)\s*([2]){1})))\b)"
